entity,author,author-revs,total-revs
.gitignore,Michael Palumbo,2,2
Heidegger - The question concerning technology in-class,Michael Palumbo,5,5
Jay-Gouldings_western-eastern_Terminology.txt,michaelpalumbo,1,1
README.md,Michael Palumbo,3,3
SPTH-6155_Syllabus-Annotated.pdf,michaelpalumbo,1,1
Srnicek_Platform_capitalism.txt,michaelpalumbo,1,1
class-notes_marcus.txt,michaelpalumbo,5,5
docs/Georgia.ttf,michaelpalumbo,1,1
docs/Tickle.pde,michaelpalumbo,1,1
docs/index.html,michaelpalumbo,3,3
docs/processing.js,michaelpalumbo,1,1
essay/essay_abstract.html,michaelpalumbo,1,1
index.html,michaelpalumbo,5,5
log.csv,michaelpalumbo,1,1
manifesto.txt,michaelpalumbo,2,2
marcuse-notes.txt,michaelpalumbo,8,8
marcuse_discussion_and_questions.txt,Michael Palumbo,1,1
notes-from-may-11.txt,michaelpalumbo,5,5
notes/.DS_Store,michaelpalumbo,1,1
notes_marcuse_one-dimensional-man.txt,michaelpalumbo,3,3
notes_on_heidegger_positionality.txt,michaelpalumbo,1,1
notes_on_negri.txt,michaelpalumbo,1,1
one-dimensional-man.txt,michaelpalumbo,7,7
positionality-discussion.txt,michaelpalumbo,2,2
positionality-discussion_in-class.txt,michaelpalumbo,1,1
positionality.txt,michaelpalumbo,9,9
reed.txt,michaelpalumbo,1,1
simondon_reading_notes.txt,michaelpalumbo,4,4
sketch/circle.pde,michaelpalumbo,1,1
stiegler_notes.txt,michaelpalumbo,1,1
terminology_marcuse.txt,michaelpalumbo,1,1
test,michaelpalumbo,1,1
the_labor_of_the_inhuman.txt,michaelpalumbo,1,1
virilio_great_accelerator.txt,michaelpalumbo,4,4
